#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Gln_CUT" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Gln_CUT" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Gln_CUT" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Gln_CUT">
#                            <taxonset id="TaxonSet.Gln_CUT" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Gln_CUT"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gln_CUT" name="distribution">
#            <parameter id="gammaShape.s:Gln_CUT" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Gln_CUT" name="distribution">
#            <parameter id="ucldStdev.c:Gln_CUT" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Gln_CUT" id="treeLikelihood.Gln_CUT" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gln_CUT">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gln_CUT" shape="@gammaShape.s:Gln_CUT" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Gln_CUT" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gln_CUT" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Gln_CUT" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Gln_CUT" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Gln_CUT">
#                <LogNormal S="@ucldStdev.c:Gln_CUT" id="LogNormalDistributionModel.c:Gln_CUT" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="40" id="rateCategories.c:Gln_CUT" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Gln_CUT" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Gln_CUT	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	sum(indicators.alltrees)
100000	-2468.979334325295	-2388.544241084904	-80.43509324039071	-2388.544241084904	0.7218450571399601	0.6399577975745092	1.0	0.3010540405589595	0.9544434234898258	0.07711335321209176	0.2862935089741747	-24.837202292918775	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7.399776485224331	17.01930378871343	0.14370651806140267	2.3184628994660463	3.5164359765545754	6.941511498083548	1.8944436130885112	0.7693448938391152	6.927215988696862	1.323860884549813	1.9846704815632623	0.14385311301875905	0.07453707548729667	5.5866960583564245	0.16990900299428352	2.0733752020843927	5.572917330339963	3.7820946884022555	1.5047329613764493	0.5451451428487186	1.1235319636519652	0.16467291909501164	2
110000	-2454.845395021345	-2396.817635562655	-58.02775945869001	-2396.817635562655	0.7513230032553151	0.6399577975745092	1.0	0.16366281165096078	0.9342047000082799	0.027652509705827468	0.17426739248607037	-26.602014735876462	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2.3170645775676655	5.25073432746452	1.0215214065548157	1.4077228413226865	0.9266112353525159	0.2698852814201873	0.012142611146313072	0.37193914326426414	0.03559897205494522	7.490079563763913	0.6214525101071326	0.09290638336865935	2.2812252382307836	0.3462799552692516	0.33432286801595756	0.15850557752134775	1.7450269431282992	0.8726575683908204	0.4268049798162632	0.6440529735104138	2.5944605387795843	0.12545136639149837	1
120000	-2464.514475451492	-2388.2598559013204	-76.25461955017165	-2388.2598559013204	0.7833005972544278	0.6013954146671605	1.0	0.602015529284578	0.9618769701483915	0.2670761916597197	0.514166524624943	-25.45031966192816	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4.22184574258944	14.743880185837039	1.162620306391518	2.2252100174808973	3.278764618843169	4.8431232622322264	9.344426125823972	3.0100109625695928	0.2281460036904734	2.5194964097511536	2.704787798802385	4.556589713610277	0.6610190633824904	2.0094954925572996	2.2144988159318997	1.4421483996621454	0.2128961776139716	1.3206095637108908	2.9956302878282144	2.7954579227189087	1.2767324463517928	0.1028525600467702	2
130000	-2431.654817587238	-2380.775079711722	-50.87973787551632	-2380.775079711722	0.7773641580286375	0.6013954146671605	1.0	0.47101433208967075	0.9438256914181227	0.2741266233581327	0.5120599744565069	-24.537606905833968	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.4703717694030192	2.375116152935772	1.8129893083154842	2.012239044644275	1.1111662060085734	0.17359068754539728	0.2598980890596991	5.038006731923253	1.41482800978359	0.04349461277419494	1.0647498867403047	0.10679985585096295	0.13157663206501727	0.7446610666103509	0.04614323822426131	0.9410867996272789	0.26123429348045274	0.25956874021494686	1.463597496236659	0.4137185925441391	0.08459416536574546	1.2296991930270929	2
140000	-2474.0733040876853	-2389.0762323621725	-84.9970717255128	-2389.0762323621725	1.0924942522656154	0.6013954146671605	1.0	0.32001317181403927	0.8993840057119452	0.0714944584999071	0.2893200614769308	-26.14883240684817	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	8.381439258976366	12.452981839747299	1.9288906180306074	1.8091323358884184	1.4521473070129052	0.13453211349398952	0.6224796373770979	1.698116117804061	4.957327218611423	0.7746219963968825	0.7213637850240869	1.558235259057115	7.891509391498592	2.3949591094897786	0.6502435363034197	0.7658115491532735	3.163323970628466	2.1655730087818763	0.6295425560714961	1.1089811713854287	0.4683235399686784	1.6404774377432667	4
150000	-2477.6987247398633	-2387.2505334525413	-90.44819128732206	-2387.2505334525413	0.7846128809591557	0.6350990462647834	1.0	0.3940238696339291	1.0075569755672968	0.2158675187881235	0.45773076298457516	-22.963309806735914	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12.949937974099944	14.87460186893295	6.226484965487201	0.4067334180567585	1.1752063952536556	14.385456803054424	2.5357632146051357	1.2941244551199946	1.1969891002837634	4.380124187373858	4.997115206208029	2.3673236621259073	0.5917373477856273	0.3632367107598285	13.285818492521129	2.0927566264660435	11.962510606933789	5.490539040936644	2.188248572114272	5.769054291593754	10.849313501612919	8.35857555056714	1
160000	-2456.8762605683473	-2387.0608674204373	-69.81539314791014	-2387.0608674204373	0.8772568537075166	0.6133979310404374	1.0	0.4243563024178277	0.9803873602582198	0.1978813259313935	0.4277551854296468	-27.37104665669752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4.176526904103027	5.2977711066176845	1.0030615516636892	0.6109409291353669	0.9017089616058241	2.425960525807537	0.21495948866870748	0.3288869512296015	0.36285631384286515	0.20774553224638298	3.303033959842994	4.30260159846277	0.9385668753467192	0.0718968835621638	2.7957339098697496	4.848740182326432	0.3159814023552094	0.8233699792487595	0.4645986148160253	1.622424429022093	1.3742683788248637	3.817067917013647	1
170000	-2487.205708377563	-2393.6759370243867	-93.52977135317613	-2393.6759370243867	0.8113670623671511	0.6026074250230614	1.0	0.2892882041808831	0.9274478861863948	0.05713374814022893	0.25361469905778705	-21.80694387400783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13.175080045903734	8.878020392692479	8.984416458879897	21.075265597151404	16.562605023161698	1.9403175199577782	8.687533994886703	31.685522384194257	21.09588633548041	3.1337874260354988	4.595350455870884	13.57278948920234	4.015558917176953	7.505743714100851	5.145837757341029	1.6691303402947717	0.29086175635777606	1.9202015754342687	3.9258099005005325	1.5745513207141755	0.6016131476960422	6.681566284402777	1
180000	-2486.9546648465534	-2388.928614339348	-98.02605050720551	-2388.928614339348	0.7534328469626214	0.6026074250230614	1.0	0.21474180156737036	0.9630962792493021	0.0566164427574407	0.24674440103722645	-23.971282258170877	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16.968958216078526	20.832496490877617	3.8239532571582036	2.556937813142683	60.1958905420295	3.703834330302627	15.770679311853199	2.6749452558988627	1.6517270464568992	4.018566617903866	0.39929913762819924	3.024638277208448	0.3842828972511774	7.025438281363864	0.5668789324501655	12.600167752382022	4.348855675164551	14.020276199309464	1.1244172349720212	1.6364346525508362	11.032212756171848	2.863346832744181	1
190000	-2519.12179527839	-2400.5745621578258	-118.5472331205643	-2400.5745621578258	0.6731642082305099	0.47559633453208117	1.0	0.011015197730048727	0.9966165571670443	8.589297563868078E-5	0.009309088907106966	-22.25940671266104	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	49.474821182157214	12.617754016433159	18.045885135745785	4.5457784111450845	10.233219648670188	25.91670831656526	37.79532335672402	1.1323323405273826	34.179813335042525	21.49019251681245	19.769050615328734	1.1050258548767635	3.9897174443720074	15.216164448085232	91.72500771926043	7.724280320769111	22.091959849339293	0.23912194031493358	15.44851974771545	2.025684917026535	56.54190241400336	16.89882072799752	3
