#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Glu" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Glu" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Glu" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Glu">
#                            <taxonset id="TaxonSet.Glu" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Glu"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Glu" name="distribution">
#            <parameter id="gammaShape.s:Glu" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Glu" name="distribution">
#            <parameter id="ucldStdev.c:Glu" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Glu" id="treeLikelihood.Glu" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Glu">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Glu" shape="@gammaShape.s:Glu" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Glu" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Glu" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Glu" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Glu" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Glu">
#                <LogNormal S="@ucldStdev.c:Glu" id="LogNormalDistributionModel.c:Glu" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="84" id="rateCategories.c:Glu" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Glu" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Glu	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	sum(indicators.alltrees)
0	-10318.11824218613	-10230.539960649747	-87.5782815363836	-10230.539960649747	1.9242008487367137	1.0	1.0	0.1	1.0282795209458284	0.008685719826990936	0.09326893168217519	-43.70449850094441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-5736.4675436708085	-5510.520416798227	-225.94712687258107	-5510.520416798227	1.1511881143856793	1.246796855764642	1.0	0.4379795294213846	1.02346855574437	0.2398103851914776	0.478171089378059	-82.5740666680564	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11.305331717142826	50.77441143829843	11.633876782537007	11.305331717142826	1.9815358005978096	11.305331717142826	2.7291196877373434	20.065079322802852	4.060928096901014	8.563123189919937	8.641195361460166	16.22434433074324	25.854370175352255	4.805603696872723	2.749191149593013	9.452728920503764	4.077729622351018	6.8097741453145275	0.05338032053652544	11.305331717142826	3.6026612494730688	4.377240444842723	1.7517190511268188	5.102422935628652	0.03584962703156704	6.162276776128247	11.305331717142826	4.207241742406343	9.932623478917353	11.177815090847808	0.001577600350897966	11.305331717142826	11.305331717142826	1.9649974769489702	11.022128588933146	8.352551196938428	0.9814109136563987	1.3743127907105972	2.2587176542751037	9.825438880989847	4.95217097204655	11.305331717142826	0.749861445508096	5.969327657134814	3
20000	-5607.4392508377105	-5416.427159141799	-191.01209169591118	-5416.427159141799	1.477488403892106	1.0337905570708785	1.0	0.4872173248397352	0.9587823258027157	0.28247077735397874	0.5227353566760045	-92.11864944764046	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.259403082150532	20.328635484936477	5.412246976765256	2.7996012527244387	0.8517906438641962	1.7287246773713631	1.2696257709518173	2.6876768312469563	1.1468696108933638	0.3514116794547164	2.028818836148471	4.116477883231172	7.139412653162343	0.9048611545511714	2.0199158188951873	2.9121016407624345	1.4079489311128508	2.5585872636130733	0.6196650288398949	0.82745206344738	0.23962440469798715	3.427435614980061	3.1182006282142427	2.3928649311785968	0.6611294743202423	6.711627300697091	3.130289213932639	4.748632989062017	4.6207994463041855	3.983461858891485	0.21858737691414318	0.3481323511353933	0.9971419430865884	1.377935252810742	5.12765290951985	0.4933751937511753	0.6787273518631152	0.09354561902961815	0.4202262467656211	2.9488747818853924	2.3038212345617457	3.6098450027264763	1.3224360568896925	0.4422480923114234	2
30000	-5581.945470152413	-5387.576236809573	-194.3692333428399	-5387.576236809573	1.3540167666317238	0.9598132319819559	1.0	0.4955564796106951	0.8972601349153414	0.24158821338985373	0.5341206531528848	-82.90624870055456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7.010946301621234	21.246221751084203	0.7824105205040004	3.7319546994631363	1.1354631639895931	2.8561470843293213	2.969777068668517	3.582755998287	0.8995440040345605	8.223797031817321	0.5053327788540254	4.62100191392062	3.3816704299498777	1.2062077893423733	2.2348204772141456	5.275807231230768	1.058964509187745	3.1636505890645217	2.0694612090446873	0.6077090566184324	2.4652336468780502	4.529341685307	0.30440275142656603	1.898453753870593	1.0035175230622992	0.1591624171056363	6.915127772746504	3.192717241413003	0.6653411033973124	1.1678280032156882	1.200362810673216	1.7148082678184182	0.9650132608979907	3.754260282757789	1.3204616419258355	0.6984796948732087	0.3728405247394398	10.795160884290807	1.3219975804477604	14.51794616645084	2.019010686870663	1.2518308851087374	16.511419233039568	4.133054989868621	2
40000	-5612.956156282297	-5395.3412636419025	-217.61489264039471	-5395.3412636419025	1.1150322661823073	0.9598132319819559	1.0	0.4431223145757071	0.9368867968510182	0.2034874772494804	0.4561138912074109	-78.9264489451666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.925049822094042	23.364595178173538	0.3540052169876677	7.412359599987951	2.2552420813794245	5.430357459484061	5.898532361053541	2.9501850229981494	1.7866625323389838	16.33399807503363	0.4514713264716066	9.918604034230292	3.4440729489700233	10.331250158408373	4.43877119433174	3.191262060997907	19.464850057889294	2.346469208878829	3.0650460623598783	1.2070237777734185	0.9406606959620161	11.082003916986007	2.246634576988907	3.7706840090154956	5.883983321741007	0.6451719916328831	0.16870500042312228	6.445768177962854	4.8892872362236925	0.8871424707932617	2.3841449105590953	3.4059297471995276	11.730307620888054	7.456662657710282	24.075034658132953	6.305678847408238	2.3085164419620123	21.441207318405667	2.503667174316908	7.5986379647147135	4.010132612128685	0.11151207408650513	4.037997520978245	20.835277747930274	1
50000	-5590.841673436299	-5394.737242652556	-196.10443078374266	-5394.737242652556	1.1853584848477816	0.9949146559084416	1.0	0.5211328623026728	0.9904651568216396	0.4110742807490421	0.594070170709646	-72.16773550116795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.391202959437923	27.342507486389504	6.012487079875235	5.5312788101917265	1.6829152132078133	2.515859802811583	4.401624964333718	0.4830262886323177	1.5336969244346863	17.50844381605162	0.3368986282756185	3.6059974292180743	0.22359763316385237	7.709424281586003	3.3123165058716926	2.932709363406742	2.890003940959016	1.750991062800019	2.2872101802805633	0.3245825642259517	0.5108941758758366	5.149857012229259	1.6764920889648973	0.7420275416949581	8.83819940196582	1.0920793497345844	0.12589167881376404	1.5274315442733075	3.648502278101699	5.260341863636845	0.30331271483852373	6.905174862580276	5.233930695521872	1.4493663656161337	1.196440634036031	8.137353778464508	1.7226698065787902	9.984387560300041	9.696719957246122	0.7646665208663934	2.9924562137490294	1.7485006587306935	2.1326936757012196	12.117605767779473	1
60000	-5675.693009007688	-5402.770533127762	-272.9224758799251	-5402.770533127762	0.9323196646831006	0.9257592797110293	1.0	0.36745050656738776	0.9374176044687901	0.1587839998438188	0.4148040754016009	-77.72264278839285	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.55235713038147	103.89669694776518	13.812142088152815	10.394651493809457	8.025289852440382	12.838337590869262	24.90270312240613	2.30339944769648	7.3137150747622535	83.49222550621208	1.6065628984646545	17.195860106029233	14.810164465650365	36.55414113893059	11.394690786767727	48.62305536951959	33.45058735515205	7.191047452366836	33.06720676700104	2.5761218797146093	2.4362925791799532	55.51350541686277	48.35321201342142	0.596776005086154	55.146655603217006	5.20778067409532	39.240120241124494	7.283837460348778	17.398552273613287	21.67359635536545	6.574476116676705	32.92859278891605	24.958958460589486	6.911569338229783	5.818248615039717	38.80446393942281	8.214866922196542	19.93084234779939	46.240587561456735	3.6464525498660296	14.270076292373947	8.338046078239357	10.170140943312804	35.0329928572125	2
70000	-5653.535965888585	-5408.7424287205695	-244.79353716801612	-5408.7424287205695	0.9579598431662603	1.1404516487957563	1.0	0.40474036306583944	0.967141459980841	0.17574086215429607	0.4227556943997857	-76.04365334204978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.81495388748887	35.3407936825279	7.195617559724438	5.415230768602245	4.180880577070666	6.6883012654327345	17.09590627756147	30.79522724715232	3.8101763131962305	23.03091860062431	0.8369601274888187	13.45242417806049	12.02920438581937	56.44708469514667	5.936214425655488	1.328008990639525	10.509274236409635	3.746270997707536	17.226797418176023	2.348113387415998	1.2881908981913675	28.920492696209802	25.190243425839594	1.1443585808356778	28.729377448190778	16.73153634116241	20.4426580939188	33.4564953654049	9.064005239359522	16.408860165414982	2.148906842953986	17.15458463840835	9.996337279247594	13.191679258399146	3.0310933404842473	20.21569719860495	4.2796432514880225	10.383235146482951	30.327601336738798	1.8996675411429236	7.434184422131558	8.387496766955547	5.2982690367299075	18.250899604434345	1
80000	-5628.320556717724	-5392.131716014759	-236.18884070296468	-5392.131716014759	1.1293069603209938	1.1404516487957563	1.0	0.44694425096631024	0.9128591739308896	0.23680094573109273	0.5011716707229712	-74.41298846863643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.868747702455707	23.96187124387125	13.07304263174079	4.587430833511262	3.5417697398393346	24.544686548231503	11.284177317462065	31.92016085546956	1.785277292218725	4.78666349662413	3.2560657897583787	11.396017657773038	6.234117088230309	3.4393857649274753	5.028774258057206	1.1250027286302335	8.90277270351213	14.70709024766987	9.162571032015393	1.9891687380098655	24.288922929117412	12.312469289438363	21.33953368439335	0.899928272970787	24.337657537618014	14.173867926089182	17.317688583598006	11.011117596663865	11.230754978677552	13.900517684683809	8.99932253848338	14.532246891968676	8.468245919062651	19.567379452661264	2.567744874329178	17.125422094199077	3.6254350455635365	8.79600059497896	25.69156872967454	1.1539627716180232	11.935851258929027	7.105341014791031	21.398838766912487	17.671955992279216	1
90000	-5600.580685168765	-5406.005876539687	-194.5748086290775	-5406.005876539687	1.2679731500148896	0.9779187358768174	1.0	0.5177416484580869	0.8880141137985003	0.2903112626055386	0.5362421992302521	-74.90349245252133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.135322640704563	26.625967561460627	4.2654649613375595	0.0896796163733622	1.155606628997786	1.4361796772714934	16.38366563324289	0.3570964630969088	0.5824992659124032	1.5617898603796554	1.062387305637881	1.5076299562954754	1.1441010209110383	1.1222008435283275	1.640785622785276	10.512154644973327	2.904791646084214	4.798621093941287	2.9895584978769354	1.3758132818940054	7.92497604583906	4.017305521067577	6.962650989989302	0.7712548274473205	7.940877146357095	2.998794607970147	5.650405643545014	0.2173001708667956	3.664364387109594	2.5767323331277887	15.514769128748538	4.741573302660067	2.7630144924373794	6.384433508835663	2.3824448489174697	5.587673042047997	2.5512645291950897	3.5630447110440335	8.262031507603396	5.9972314465224885	3.894422802927793	16.425809891265278	6.9820010187959385	5.765995813426703	1
