Sample	posterior	likelihood	prior	Tree.t:Ala.CFheight	Tree.t:Ala.CFlength	Tree.t:Ala.nConv	Tree.t:Ala.nUselessConvs	Tree.t:Ala.meanEdgeLength	Tree.t:Ala.meanDepartureHeight	Tree.t:Ala.locus.Ala.meanTractLength	Tree.t:Ala.locus.Ala.meanRegionLength	Tree.t:Ala.locus.Ala.meanStartSite	Tree.t:Ala.locus.Ala.meanEndSite	Tree.t:Ala.locus.Ala.randomStartSite	Tree.t:Ala.locus.Ala.randomEndSite	rho.t:Ala	delta.t:Ala	popSize.t:Ala	gammaShape.s:Ala	mutationRate.s:Ala
82000	-5454.382099177532	-5272.788304614572	-181.59379456295983	3.6735084589343505	25.612473731462288	11	5	2.1387158747189043	1.200583378389566	103.54545454545455	52.0	0.0	102.54545454545455	0.0	98.0	3.6861671998577965E-4	1013.0603719943273	4.7961021268787025	0.6815305806887121	1.0
83000	-5449.318190598732	-5268.504230341406	-180.81396025732656	6.75167137763668	29.85691460256861	10	4	0.693987852101181	1.7828568628050447	98.7	52.0	4.8	102.5	0.0	103.0	5.849216518166287E-4	758.8976662095884	4.096531650831683	0.6815305806887121	1.0
84000	-5475.58972230534	-5267.968343847891	-207.62137845744877	9.964410131855223	36.855105324861405	13	7	0.6724659140323639	2.5396596908214883	97.15384615384616	52.0	6.230769230769231	102.38461538461539	0.0	103.0	8.004353742284878E-4	637.949915317258	4.729903394720066	0.6815305806887121	1.0
85000	-5481.433002647493	-5267.228795693339	-214.2042069541543	5.064152938535224	28.73154055574949	19	11	1.4237224669132855	1.5966187167285701	102.26315789473684	52.0	1.4736842105263157	102.73684210526316	0.0	103.0	5.976567587591388E-4	595.7700900755248	4.369959481062646	0.6815305806887121	1.0
86000	-5617.91336147634	-5271.254355326968	-346.6590061493718	25.581788830374	80.24095795674755	36	26	2.0675892282262716	10.873939492543132	98.75	34.666666666666664	1.9166666666666667	99.66666666666667	0.0	103.0	5.437879631530052E-4	519.7305434404682	5.897343529423628	0.7163513045874522	1.0
87000	-5524.667418555776	-5271.50773385965	-253.15968469612585	5.8283118924918265	32.787607868146104	22	10	1.591217883844466	2.124153639145516	92.27272727272727	20.8	7.136363636363637	98.4090909090909	0.0	103.0	7.207974220417834E-4	877.2081782009105	4.762968761126577	0.7163513045874522	1.0
88000	-5522.181563472922	-5269.435196704613	-252.7463667683083	9.301327417051631	39.509612244891876	20	9	0.6591898026082268	2.242283827385119	94.15	20.8	4.1	97.25	22.0	103.0	4.973352888074043E-4	753.8550353908466	4.596646895272605	0.7163513045874522	1.0
89000	-5485.693254471046	-5260.628006700469	-225.06524777057692	4.583705109354223	26.88511849821873	12	3	1.1481137466451743	0.578369817659714	86.83333333333333	26.0	10.916666666666666	96.75	0.0	103.0	3.889458401792061E-4	1815.7116862262155	4.90849203857769	0.6189734140978024	1.0
90000	-5481.681484487072	-5273.89643395264	-207.7850505344319	6.764471266258698	33.15233984760305	16	6	1.2471445867816264	1.0467316000726168	103.625	34.666666666666664	0.0	102.625	0.0	103.0	2.517651922856596E-4	1875.6907376970967	4.90849203857769	0.6189734140978024	1.0
91000	-5509.034583898981	-5264.202609354943	-244.8319745440372	8.760881702525504	41.45138855943735	27	18	1.0118982374338577	2.433000656553088	100.92592592592592	52.0	2.888888888888889	102.81481481481481	0.0	103.0	1.9223191461299838E-4	2812.8663459009717	5.069778274979837	0.6189734140978024	1.0
92000	-5449.9973508044395	-5259.269519329685	-190.72783147475465	5.2319646742440025	29.803725793265052	13	4	1.0597597422630096	0.8190367504734934	103.61538461538461	52.0	0.0	102.61538461538461	0.0	103.0	1.598543493098709E-4	2467.538146264197	5.1579395658503975	0.6189734140978024	1.0
93000	-5507.902110399587	-5264.439804586414	-243.46230581317366	9.177698270080288	41.17166070377036	25	17	1.2616293556054672	2.5679221488682358	100.64	52.0	0.0	99.64	0.0	103.0	1.806180407096907E-4	2744.0233442585663	4.937244018210978	0.6189734140978024	1.0
94000	-5456.71967713331	-5261.765953984094	-194.9537231492158	2.0781745669806138	21.283341027864413	17	6	0.9923838252825289	0.6944548911991744	103.70588235294117	52.0	0.0	102.70588235294117	0.0	103.0	2.2481654689325228E-4	2169.5124755105335	5.021889560635975	0.6189734140978024	1.0
