#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII">
#                <taxonset id="TaxonSet.ClassII" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII" name="distribution" x="@birthRate2.t:ClassII">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII" name="distribution" x="@relativeDeathRate2.t:ClassII">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII" name="distribution">
#            <parameter id="ucldStdev.c:ClassII" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII" id="treeLikelihood.ClassII" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII">
#            <siteModel id="SiteModel.s:ClassII" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ClassII" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ClassII" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII">
#                <LogNormal S="@ucldStdev.c:ClassII" id="LogNormalDistributionModel.c:ClassII" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="1028" id="rateCategories.c:ClassII" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-287062.4357118935	-287382.746587514	320.3108756204961	-287382.746587514	0.9433727248215633	326.3992667543574	1.0	0.5	0.1	0.9949591679122454	0.009678961451282369	0.09817493194307944
10000	-131959.3866528042	-131033.54168214907	-925.8449706551328	-131033.54168214907	64.96556156998346	-917.3505348326194	0.048232743949605514	0.9453091298699348	0.681448131176986	0.9142284533186468	0.5092139161579508	0.7181319002321949
20000	-122854.79022505943	-121997.09165798887	-857.69856707056	-121997.09165798887	47.44185109696512	-848.5002877215567	0.06469944162083388	0.9314642885891194	0.901117289257685	1.2189762470147922	1.2172728625938316	1.1097793872183774
30000	-117494.12998166184	-116649.64198564424	-844.4879960175977	-116649.64198564424	43.59445228516177	-834.8971758523144	0.0776084990063106	0.9250788142890776	1.0278856452843226	1.0678092844939102	1.7146700093897278	1.3329545227349497
40000	-112674.53251993559	-111916.09810214014	-758.4344177954423	-111916.09810214014	18.580388075213985	-748.6510676875495	0.46050571708612115	0.340989182453265	1.090944172921961	0.8739453026651467	1.681269272665033	1.351440274769995
50000	-108936.2797634536	-108224.69213993661	-711.5876235169886	-108224.69213993661	11.034864880922857	-701.7219407107187	0.682167233702268	0.0820147404683875	1.1180688301287542	0.625466001696017	1.424933092792588	1.3061963763300084
60000	-105761.2115901869	-105037.80078111558	-723.4108090713114	-105037.80078111558	10.064955757189516	-713.3407910597916	0.5847361732117371	0.16916511138127463	1.185767990706382	0.590754379941029	1.6479285272252682	1.3857656877042792
70000	-103278.46095336381	-102571.79002302712	-706.6709303366958	-102571.79002302712	10.108256531850687	-696.4306996717878	0.7267513011310593	0.013290441131774031	1.242548156395188	0.5987739821442616	1.7515208682980725	1.4470872049709114
80000	-100664.20306923664	-99975.50284388785	-688.700225348792	-99975.50284388785	11.612795500887813	-678.4760718828474	0.6827496320841009	0.027324032252717397	1.2371708421473977	0.5923047560785988	1.6550944372576677	1.4222586468021579
90000	-97991.39256873433	-97338.39825263369	-652.9943161006418	-97338.39825263369	8.724596450557074	-642.7518460333597	0.8430783886739882	0.007249140594363557	1.2432973951006894	0.6023336030971116	1.543711189440418	1.398469589197775
100000	-96595.09557355933	-95941.22491400815	-653.8706595511727	-95941.22491400815	8.48925807473723	-643.5514757850221	0.7422384990531105	0.04012867748827413	1.2689969815733348	0.5764715896324665	1.5769967692544467	1.4460368812213555
110000	-95040.51183634959	-94371.07123648489	-669.4405998647001	-94371.07123648489	9.57957901422158	-659.054091382484	0.6799283384188575	0.12148312020566492	1.29160358939716	0.5618969629725019	1.6694961236198718	1.4865107461636857
120000	-92940.66867335887	-92294.82308363995	-645.8455897189315	-92294.82308363995	8.679276745024183	-635.3906004282355	0.7837274317026144	0.03888751021511293	1.3146471334883654	0.5398899417100596	1.627876261878033	1.4879536750072881
130000	-91831.38772982388	-91174.39126321218	-656.9964666116987	-91174.39126321218	7.583194885009496	-646.4710267204425	0.7900084856188807	0.013116506667838815	1.3384033249833343	0.5373515979081802	2.089352313544413	1.700155345273477
140000	-90579.99364696177	-89923.52607945506	-656.4675675067141	-89923.52607945506	8.242310973957967	-645.9001661572764	0.7433064724702092	0.05413095450180365	1.3525762856949741	0.5273915234203914	2.085400558122263	1.7274785245782294
150000	-89463.1077688773	-88803.39319914118	-659.7145697361135	-88803.39319914118	10.871978979756987	-649.0682800104595	0.7147203251341748	0.1889875881729123	1.3792678110342371	0.5190382274342416	2.206358652434582	1.7878431791879492
160000	-88405.7155709093	-87768.65844688665	-637.0571240226595	-87768.65844688665	9.262454089489678	-626.413559364583	0.7516389597366122	0.014828754451711501	1.3783448097747302	0.5293350621159617	2.2253050655224227	1.7869152068979188
170000	-87501.70018286537	-86876.64662620262	-625.0535566627484	-86876.64662620262	9.165428893784979	-614.4476682192643	0.794516729095898	0.07166391843925213	1.3655907876045572	0.5179562255426835	2.049284744532053	1.7097502588246773
180000	-86430.2558099456	-85846.33856593086	-583.917244014739	-85846.33856593086	8.42590686849525	-573.4439046530725	0.8090497963448601	0.07346333206628765	1.320830035267948	0.5487899369397459	1.9666571284249876	1.6138642579779368
190000	-85736.54689625307	-85158.1497878265	-578.3971084265593	-85158.1497878265	8.47304254586837	-567.9436884243864	0.9170778783104597	0.015824861367708706	1.3141185337063714	0.552469235500239	1.9748595500729784	1.6119067103325617
200000	-85149.36081285423	-84608.25868308148	-541.102129772739	-84608.25868308148	8.143853860332177	-530.6308394575925	0.9242665990359328	0.011396119889202352	1.3201394570929503	0.5688813764864349	1.9401490428959614	1.6108603158065697
210000	-84006.9470790744	-83489.03244965267	-517.9146294217211	-83489.03244965267	7.706186787242232	-507.5216036639261	1.0729085087329395	0.009027569611509075	1.2937945349117426	0.5797859740760897	1.7972243466225275	1.5454205722327683
