#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeathSkyContemporary.t:ClassII" spec="beast.evolution.speciation.BirthDeathSkylineModel">
#            <parameter id="origin.t:ClassII" lower="0.0" name="origin" upper="Infinity">100.0</parameter>
#            <parameter id="rho.t:ClassII" lower="0.0" name="rho" upper="1.0">0.01</parameter>
#            <parameter dimension="10" id="reproductiveNumber.t:ClassII" lower="0.0" name="reproductiveNumber" upper="Infinity">2.0</parameter>
#            <parameter id="becomeUninfectiousRate.t:ClassII" lower="0.0" name="becomeUninfectiousRate" upper="Infinity">1.0</parameter>
#            <parameter id="samplingProportion.t:ClassII" name="samplingProportion">0.0</parameter>
#            <tree id="Tree.t:ClassII">
#                <taxonset id="TaxonSet.ClassII" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="becomeUninfectiousRatePriorContemp.t:ClassII" name="distribution" x="@becomeUninfectiousRate.t:ClassII">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="S">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="originPriorContemp.t:ClassII" name="distribution" x="@origin.t:ClassII">
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="reproductiveNumberPriorContemp.t:ClassII" name="distribution" x="@reproductiveNumber.t:ClassII">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.10" name="M">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.11" name="S">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="rhoPriorContemp.t:ClassII" name="distribution" x="@rho.t:ClassII">
#            <Beta id="Beta.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">1.0</parameter>
#            </Beta>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII" name="distribution">
#            <parameter id="ucldStdev.c:ClassII" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII" id="treeLikelihood.ClassII" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII">
#            <siteModel id="SiteModel.s:ClassII" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ClassII" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ClassII" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII">
#                <LogNormal S="@ucldStdev.c:ClassII" id="LogNormalDistributionModel.c:ClassII" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="1028" id="rateCategories.c:ClassII" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeathSkyContemporary	origin	rho	becomeUninfectiousRate	reproductiveNumber.1	reproductiveNumber.2	reproductiveNumber.3	reproductiveNumber.4	reproductiveNumber.5	reproductiveNumber.6	reproductiveNumber.7	reproductiveNumber.8	reproductiveNumber.9	reproductiveNumber.10	birth._0	birth._1	birth._2	birth._3	birth._4	birth._5	birth._6	birth._7	birth._8	birth._9	death	sampling
0	-289086.19636001595	-286971.72405380977	-2114.4723062061707	-286971.72405380977	2.4264789377009315	0.1	0.9831462476895908	0.010360951005930506	0.10169952444900443	-2095.8496096108497	100.0	0.01	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0
10000	-133194.39079416211	-132263.40186644273	-930.9889277193736	-132263.40186644273	70.35532153552376	0.683945628447516	0.8578315718664654	0.6828373669014904	0.8181013590484707	-918.4798970595288	97.87577014184028	0.22320923455465277	2.856569969852977	0.33471314341203917	0.5546430611404221	1.000958497138702	1.1477923740644818	0.953243504534121	0.9376120394007504	1.143877427781201	0.8962700438878867	0.9618434846807403	1.0756354630904683	0.9561315139859239	1.5843767124410584	2.859307983995583	3.2787492273788534	2.7230067690095803	2.67835439512479	3.267565909392446	2.560258092248947	2.747573214037745	3.072627962373132	2.856569969852977	0.0
20000	-124549.85368282777	-123769.84864125086	-780.0050415769015	-123769.84864125086	53.28181236384514	0.8011399525046121	0.9262497895557561	0.9849292026584222	0.9952265990495878	-765.9402197270476	70.98015780430688	0.1252829976531374	3.972804062456014	0.40776919099180164	0.8772898679160164	1.0447486198795193	1.1948869612125608	1.0439484530389	0.9429716712201246	0.9415540238336177	1.1503263922612006	0.7749017394755829	1.1742128524765556	1.6199870985166318	3.48530075120825	4.150581561302668	4.747051773680983	4.147402655227614	3.746241686204248	3.7406096509080036	4.570021364325668	3.0785327785928276	4.664917590506924	3.972804062456014	0.0
30000	-119227.20947130745	-118516.94448648045	-710.2649848269979	-118516.94448648045	47.71385925885928	0.8701924607727781	0.9213015863743028	1.2797647775569854	1.1363839671250204	-694.4671597822164	61.089304594776124	0.0718507940844248	6.471906584536837	0.9265397178005622	0.8394457756749681	1.0020545697722598	1.2744609519244101	0.8815050847401731	0.8992707662359729	1.0500729063583996	0.9371769975148554	0.9347699629077549	1.1409417692614245	5.996478500468362	5.432814642952459	6.485203568174316	8.248192226494675	5.705018562232629	5.81999639328408	6.79597375690466	6.065321981092856	6.049743877969954	7.384068549056122	6.471906584536837	0.0
40000	-114468.11132215497	-113830.35114689422	-637.7601752607617	-113830.35114689422	42.760587275943344	0.8782292047293669	0.8777030429721366	1.1600491913568052	1.0889593816320116	-622.5949919482103	62.22449331102152	0.08181047873629528	5.5336545633530365	0.6863797641375364	0.9407031812434613	0.7223354393883294	1.1549561084271378	1.0938368270440082	0.852193904353941	1.1516079543878042	0.970156345817636	0.87625703986867	1.2030928348640466	3.7981885140128595	5.205526451648598	3.99715480044285	6.391128139870296	6.052915149535682	4.715746687689827	6.372600611991728	5.368510090199668	4.84890376733949	6.657500155782773	5.5336545633530365	0.0
50000	-109775.52455769565	-109194.26346070679	-581.2610969888576	-109194.26346070679	25.543465870544104	0.9385211806368295	0.7789973342114787	1.5400630396823003	1.2465836492466384	-566.6952746865032	51.036714801986044	0.08657613866161115	4.18101287470288	0.2701708150480849	1.0502948886820798	0.8740863827033863	1.0508230868588864	0.7380156975828014	1.043894253762267	1.4178483565128166	0.9519640331011826	0.5621560888870857	1.3395894096726986	1.1295876560850133	4.391296451814403	3.654566419685327	4.393504855192027	3.08565313332652	4.364535314808394	5.928042232956405	3.980173878650123	2.3503818452295215	5.600840568657183	4.18101287470288	0.0
60000	-106002.95426437497	-105490.14466485448	-512.8095995204925	-105490.14466485448	19.66399138085341	0.9277568504618028	0.7622310503585713	1.4756820769261436	1.2021790899634406	-498.30974097294006	41.52716199130728	0.11598429602093735	4.228508323211596	0.7370769019432968	0.5378591897427853	1.6954750180856628	0.6796221836620125	0.6411547748525912	0.8279319379771617	1.4150516315946855	1.1390287234055965	0.355616532843541	1.3418343259116643	3.116735814714248	2.274342060543213	7.169330225772557	2.8737880602540598	2.711128301931039	3.500917090789135	5.983557601972277	4.816392437297643	1.5037274690005629	5.673957615488494	4.228508323211596	0.0
70000	-101991.95411608445	-101480.11206228107	-511.84205380337886	-101480.11206228107	4.64226589273766	0.9903972103687474	0.78856577741418	1.8464460614451277	1.3271628188345765	-496.82907614041034	53.255706180773004	0.22417798786430318	2.2729431719014572	1.1640615171197057	0.8434050306088128	1.250168283020962	0.5158012406733999	1.149938622842263	0.3034824647399273	2.314913762279395	0.5866329357714494	0.1000913497951132	1.5670182026696096	2.6458456770104863	1.9170117054696405	2.841561462620264	1.1723869080469045	2.613745140895087	0.6897983960224425	5.261667429513664	1.333383325774222	0.22750195008320284	3.561743324003183	2.2729431719014572	0.0
80000	-99006.58386965528	-98507.06543381418	-499.51843584110054	-98507.06543381418	4.370506337745708	1.0671929178236745	0.7580058585810545	2.2703045545991856	1.4563263427506967	-485.0726798326076	43.768794614196615	0.13932380094394178	2.9921989347254625	0.12880465361688936	0.9240556198522082	1.217702823369714	0.828879476183312	1.2122375471744475	0.986074561444458	0.29515981409868175	1.0184980081645338	0.5161478183679504	1.5338432492914003	0.38540914734013854	2.7649582413488543	3.643609090899046	2.4801722856515056	3.6272558972895896	2.950531252313985	0.8831768813198411	3.0475486550499236	1.5444169522814528	4.58956413656557	2.9921989347254625	0.0
90000	-96260.13765524946	-95783.7069597846	-476.4306954648707	-95783.7069597846	4.31831778609713	1.0681135872750285	0.7590577119751166	2.094559731306606	1.4296985550545476	-461.88831906466334	44.38845643151467	0.17263253782777016	2.6462302579950414	0.640525107840632	0.49520604763620735	1.8225907994811297	0.5659785604272234	0.14061461422469176	2.4479843039708133	0.6423786953141637	0.2631465551053899	0.5729506325791714	1.5584261003935025	1.6949769213734174	1.3104292271970657	4.822994921530339	1.4977095919789936	0.3720986468776793	6.477930136264497	1.6998819406317176	0.6963463764070423	1.516159300268403	4.123954301710504	2.6462302579950414	0.0
