#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Euk_READY" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Euk_READY" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Euk_READY" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Euk_READY">
#                <taxonset id="TaxonSet.Euk_READY" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Euk_READY" name="distribution" x="@birthRate2.t:Euk_READY">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:Euk_READY" name="distribution" x="@relativeDeathRate2.t:Euk_READY">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Euk_READY" name="distribution">
#            <parameter id="ucldStdev.c:Euk_READY" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Euk_READY" id="treeLikelihood.Euk_READY" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Euk_READY">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Euk_READY" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Euk_READY" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Euk_READY" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Euk_READY" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Euk_READY" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Euk_READY" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Euk_READY">
#                <LogNormal S="@ucldStdev.c:Euk_READY" id="LogNormalDistributionModel.c:Euk_READY" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="640" id="rateCategories.c:Euk_READY" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Euk_READY" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-176594.98544697464	-176779.91425581998	184.92880884535685	-176779.91425581998	2.3588403247603678	0.1	1.0408507197104526	0.00958468311918761	0.09814209789434246	191.0171999792182	1.0	0.5
10000	-84810.76470309605	-83988.69689399957	-822.067809096474	-83988.69689399957	101.69660871359036	1.198304198864487	0.9344654744264286	3.455061952686196	1.8930905338499997	-811.9601232897032	0.0559271734709296	0.8484517236406304
20000	-76876.02462798244	-76178.12772238252	-697.8969055999177	-76178.12772238252	23.852745563489908	1.5364716032669856	0.6033082787360083	4.852404958706816	2.3187151643520876	-686.7892862061042	0.22758143002142145	0.4472199694677958
30000	-71769.69752625597	-70985.52603673545	-784.1714895205179	-70985.52603673545	32.41716601987365	1.6531754583718326	0.5715168807641207	5.581691838250488	2.5575425912489544	-772.7245770768365	0.16081976613276494	0.5449559840588916
40000	-68521.7149085049	-67695.15747830659	-826.5574301983183	-67695.15747830659	40.13471892674814	1.7613381760498208	0.5290855613927583	5.388134887351688	2.5923520723495295	-814.7981168777775	0.17587690678899545	0.3857239678725153
50000	-66729.10281911382	-65921.48927722419	-807.6135418896326	-65921.48927722419	36.88208273850116	1.7731943297226918	0.5163207945611381	6.2147433925492965	2.79348673557708	-795.8200946688826	0.14364620374744716	0.4487595610546213
60000	-64932.104833558304	-64151.04758172335	-781.0572518349488	-64151.04758172335	32.18357025007413	1.8174507194111686	0.6028757301261517	12.108478634168783	3.523319112296759	-769.1365699865843	0.22471370603633672	0.05038455699072258
70000	-63338.55218833632	-62592.00567617715	-746.5465121591727	-62592.00567617715	28.99546507699018	1.833856633586881	0.5163955706036334	12.35255234885843	3.5711180726756946	-734.5787343146853	0.24504760951398089	0.28174074806269317
80000	-61139.71791641055	-60507.94719439193	-631.7707220186189	-60507.94719439193	17.00727707477079	1.7788253258953814	0.5442330036274696	11.003432368149014	3.3471157888357195	-619.9610703701999	0.3831233995712105	0.048597519545470834
90000	-60325.30503299456	-59643.84213102843	-681.4629019661279	-59643.84213102843	18.654819343142275	1.751275272302206	0.5508459254342779	10.432983392883266	3.260211052897922	-669.732576130212	0.321421659518861	0.16646100153220347
100000	-59582.50579282375	-58898.813906308445	-683.6918865153075	-58898.813906308445	17.672712028238234	1.7930717649834118	0.5569226812275373	7.483749530924438	2.916493179085095	-671.8412581466571	0.28812601148835915	0.16929635414478048
110000	-58544.09210735833	-57865.85434935997	-678.2377579983607	-57865.85434935997	19.089667286261054	1.763409694906328	0.5242812717345604	7.593203019461822	2.9194219029666555	-666.4724792729978	0.33152882911561327	0.055875012952010264
120000	-57772.76390054718	-57117.170896282805	-655.5930042643774	-57117.170896282805	25.40493355763688	1.7763685276859926	0.6069359861646135	11.110085042689242	3.338497269457258	-643.7904220230881	0.3479464698258326	0.15590865986525562
130000	-57211.389657106076	-56576.167284182004	-635.2223729240721	-56576.167284182004	23.19378554037118	1.7284692670627027	0.5555510123172577	10.21697849459173	3.3120643616226464	-623.5577992513088	0.32999220775075366	0.21250784856746316
